FP_REGION,QUINQUENNIUM,NRTN_CORN,NRTN_SOYBEANS,NRTN_WHEAT,NRTN_OTHER CROPS,NRTN_PASTURE/RANGE,NRTN_ALLOTHERS,LUSHR_CORN,LUSHR_SOYBEANS,LUSHR_WHEAT,LUSHR_OTHER CROPS,LUSHR_PASTURE/RANGE,LUSHR_FOREST,LUSHR_ALLOTHERS
CORN BELT & LAKE STATES,1992-1997,162.321809050477,174.6252328218659,76.00112214365022,109.6672835515644,86.36350256117846,7.218815526696209,0.3184449958643507,0.2976978218913703,0.02391783843396747,0.1503308519437552,0.19313482216708022,0.008822718500137855,0.007650951199338296
CORN BELT & LAKE STATES,1997-2002,128.1132288331945,158.9973946914822,70.58477408123557,111.9071291320783,88.76349725118278,18.49969062381331,0.2544422926646961,0.28848571331498657,0.04579893317025108,0.172663337070635,0.20225597118880165,0.021064791220738625,0.015288961369890938
CORN BELT & LAKE STATES,2002-2007,202.4253629739999,183.8978920899356,99.38065310729354,116.1589603927179,72.62252125848991,18.90101187095877,0.30595412947689526,0.2241554626595865,0.05321432606485143,0.10541181787368659,0.24788159529996612,0.041125296576658005,0.02225737204835612
CORN BELT & LAKE STATES,2007-2012,433.5789489907073,370.580951117158,175.2376959521286,143.8652530570762,90.36193654381762,13.69914729472165,0.2921702303481046,0.30379093068897844,0.03243466584030575,0.15215370312984194,0.1893915917777089,0.020142547257514718,0.009916330957545707
CORN BELT & LAKE STATES,2012-2017,331.5481734127557,380.3685246149734,187.7623008003397,173.6021106647121,129.1423357866758,14.17204805317157,0.23056619397577893,0.335627781803126,0.042024635130938834,0.09269226788117171,0.2706241589897526,0.02680881896284029,0.001656143256391678
MOUNTAIN,1992-1997,140.0908099482583,0.0,82.22497609482689,115.3623881850479,2.76614557699168,80.93948520285679,0.013698630136986302,0.0,0.17436730903180866,0.3406083120501509,0.3972602739726027,0.00046436034362665435,0.0736011144648247
MOUNTAIN,1997-2002,100.6635548996569,0.0,53.5883222785002,117.0840608020045,3.128383189934023,64.40838935951408,0.00833223986353497,0.0,0.18488387350741373,0.3790841096968901,0.4260595722346148,0.0,0.0016402046975462538
MOUNTAIN,2002-2007,125.9578144037549,0.0,61.19302514830404,127.261633728131,3.542833278252336,34.26456670389869,0.0,0.0,0.22894919972164232,0.291231732776618,0.4784272790535839,0.0,0.0013917884481558806
MOUNTAIN,2007-2012,268.8187437411013,0.0,144.8897141079376,182.6294233019386,3.835389509254871,7.767128847737905,0.029307096504082062,0.0,0.23011304165794433,0.3140569395017793,0.42652292233619427,0.0,0.0
MOUNTAIN,2012-2017,209.9715749771821,0.0,126.8376373903555,227.3620365610458,4.767278963500151,11.30109102506855,0.026166865687139818,0.0,0.1915269196822595,0.3286433726182441,0.4354914075073984,0.0,0.018171434504958207
NORTHEAST,1992-1997,105.2398326231163,126.4345200805384,108.3350890009466,101.1255104768454,81.10511183568683,266.6971576439211,0.11857707509881422,0.0,0.20948616600790512,0.5928853754940712,0.07905138339920949,0.0,0.0
NORTHEAST,1997-2002,67.63419094780578,115.5848929691447,76.05680162765535,112.1671990785399,96.40489268287008,373.632505295867,0.1650294695481336,0.05893909626719057,0.0,0.5422396856581532,0.21218074656188607,0.021611001964636545,0.0
NORTHEAST,2002-2007,105.0245943251261,141.4056466921949,86.35996012959927,130.3899646409589,106.0043295029166,534.1172097592054,0.053571428571428575,0.004464285714285715,0.0,0.6160714285714286,0.3125,0.0,0.013392857142857144
NORTHEAST,2007-2012,238.3294588780704,289.346886637131,171.8812279634016,132.3864894298653,119.0027104959289,222.7431969335742,0.04946996466431095,0.11837455830388692,0.022968197879858657,0.3480565371024735,0.37985865724381623,0.030035335689045935,0.05123674911660777
NORTHEAST,2012-2017,219.9352157154867,325.8862614760409,174.9136270028116,176.7824709018121,180.7318665244956,99.19138486205901,0.1646090534979424,0.03292181069958848,0.51440329218107,0.13168724279835392,0.15637860082304525,0.0,0.0
NORTHERN PLAINS,1992-1997,130.3723597381266,133.5944483254692,65.95332952236869,74.46129625214223,12.9623035551845,9.195652167461052,0.09991326973113616,0.0787510841283608,0.1505637467476149,0.4490893321769297,0.202601908065915,0.0,0.019080659150043366
NORTHERN PLAINS,1997-2002,96.24485578678112,122.0139717381236,51.79509429393607,68.02883085818942,14.39978555158277,9.41937392348196,0.08960163305703328,0.07521959668439936,0.17394531733267352,0.42372881355932207,0.23515402697018434,0.0003092911047878263,0.0020413212915996537
NORTHERN PLAINS,2002-2007,131.2772506113628,127.8239213826125,58.400316037408,65.41486607322322,16.53331539381715,3.411697808229731,0.08098102730217492,0.12262841277186488,0.08144377602961593,0.33132808884775566,0.3817677001388246,0.0018509949097639982,0.0
NORTHERN PLAINS,2007-2012,362.144025332012,293.7988224145769,136.8736294499534,131.9466727339988,17.90112250049101,0.1681193751878267,0.16503671301359163,0.14413372910482738,0.11491954382127793,0.27142633963443213,0.30279643805655365,0.0008748633026089673,0.0008123730667083268
NORTHERN PLAINS,2012-2017,278.490639493102,290.413862016401,123.7677580387671,145.9633932447738,23.20594141977812,-0.1628621880514082,0.09618724344805811,0.13403852226081464,0.13541995579412694,0.2660246289864225,0.3645011051468267,0.0,0.0038285443637511843
PACIFIC,1992-1997,150.3890598444723,0.0,138.2933654425945,217.6988023268364,8.880660282945978,613.3989188067096,0.0,0.0,0.2029372496662216,0.31642189586114816,0.47263017356475295,0.0,0.008010680907877168
PACIFIC,1997-2002,103.6309598900647,0.0,92.61712264622284,196.5746542233641,10.31396863078816,349.3776255589299,0.0,0.0,0.5217391304347826,0.28851470218647907,0.187484292535813,0.0022618748429253585,0.0
PACIFIC,2002-2007,92.73440761175456,0.0,108.1977852336264,264.0717303204363,10.9038284623346,235.2829133441293,0.0,0.0,0.0,0.4919786096256685,0.49732620320855614,0.0,0.0106951871657754
PACIFIC,2007-2012,221.4678964055992,0.0,217.4935711642433,450.5812808639403,14.94156689234333,77.21583941802774,0.0025391451544646633,0.0,0.13457469318662715,0.2551840880236987,0.596699111299196,0.0,0.011002962336013541
PACIFIC,2012-2017,184.2374882306079,0.0,180.8408213081393,471.1000927253519,18.57635597759687,123.2868817072922,0.0,0.0,0.3841170825335892,0.508637236084453,0.10724568138195778,0.0,0.0
SOUTHEAST,1992-1997,121.878448712269,113.281386504548,72.35690762103062,165.5549557918165,60.8218086691477,73.95927055402444,0.05264140377076722,0.12936344969199176,0.008026880716819115,0.1508306888183685,0.24024640657084184,0.4058241553108083,0.01306701512040321
SOUTHEAST,1997-2002,88.13024243820169,90.71363838928376,50.89175046874656,140.2965823024859,61.91890420616987,123.641505537481,0.07381408211018932,0.052187477841593985,0.013968659150535348,0.10714032475359853,0.20435368361341558,0.516627667872084,0.03190810465858328
SOUTHEAST,2002-2007,141.6035234574665,130.2258326323563,58.264471728401,145.9106195533359,61.24942095485223,92.13882463804092,0.040197135376559376,0.015093177267826892,0.016017249345448948,0.05559833667026028,0.15786231326043432,0.7116895117819191,0.0035422762975512094
SOUTHEAST,2007-2012,294.1297433193112,235.0489976970301,135.5718298936902,204.74290809692,86.52337647580062,59.09845703798926,0.11358428805237317,0.10458265139116203,0.034697217675941076,0.10818330605564647,0.1839607201309329,0.4436988543371522,0.011292962356792145
SOUTHEAST,2012-2017,322.3060279720802,317.7050471169168,157.0860986889451,245.574287712462,113.4917978958034,42.99648103109715,0.05979676915059925,0.1384835852006253,0.00846795205836373,0.06943720687858258,0.04312141740489838,0.6753517457008859,0.0053413236060448135
SOUTHERN PLAINS,1992-1997,148.6518738510446,91.72295690205468,37.05543539292384,95.69865722889739,9.994186407504298,138.087670089132,0.020761245674740483,0.0,0.12086010874938209,0.21057834898665348,0.6473059812160157,0.0,0.0004943153732081067
SOUTHERN PLAINS,1997-2002,108.8112963093565,60.81551242763111,31.71507184243774,71.47681577045627,10.16751524102515,194.916563993293,0.024948392804482453,0.0,0.14208198171630787,0.17687997640813918,0.6464169861397818,0.008139191978767326,0.0015334709525213802
SOUTHERN PLAINS,2002-2007,130.6352778482924,81.42397411568763,28.2205144601486,77.9253516235732,10.94162127702518,133.8449105847497,0.0,0.0,0.06303823630726835,0.09369617636927317,0.8250086117809162,0.00826730967964175,0.009989665862900447
SOUTHERN PLAINS,2007-2012,270.1379707249553,149.0365113630431,61.16843714937183,118.0928621566966,13.0675510566721,65.01584489155638,0.03002832861189802,0.0,0.06920275192229866,0.14658033184945365,0.7460946985026304,0.0037231889923108052,0.0043707001214083364
SOUTHERN PLAINS,2012-2017,298.8120451388907,168.0385532016994,50.17741840587505,107.7094468630117,11.53724426154462,27.95722343766868,0.012247994797311947,0.0,0.08096683286364623,0.27053977888575764,0.63082592672881,0.0,0.0054194667244743125
